Type of message: snd 	Time: 1556083750.40	Seq number: 783	Data size: 300	ACK num: 0
Type of message: RTX 	Time: 1556083751.40	Seq number: 783	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083751.40	Seq number: 0	Data size: 300	ACK num: 1083
Type of message: snd 	Time: 1556083751.40	Seq number: 1083	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083751.40	Seq number: 0	Data size: 300	ACK num: 1383
Type of message: snd 	Time: 1556083751.40	Seq number: 1383	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083751.40	Seq number: 0	Data size: 300	ACK num: 1683
Type of message: snd 	Time: 1556083751.40	Seq number: 1683	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083751.40	Seq number: 0	Data size: 300	ACK num: 1983
Type of message: Drop 	Time: 1556083751.40	Seq number: 1983	Data size: 300	ACK num: 0
Type of message: RTX 	Time: 1556083752.40	Seq number: 1983	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083752.40	Seq number: 0	Data size: 300	ACK num: 2283
Type of message: Drop 	Time: 1556083752.40	Seq number: 2283	Data size: 300	ACK num: 0
Type of message: RTX 	Time: 1556083753.40	Seq number: 2283	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083753.40	Seq number: 0	Data size: 300	ACK num: 2583
Type of message: snd 	Time: 1556083753.40	Seq number: 2583	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083753.40	Seq number: 0	Data size: 300	ACK num: 2883
Type of message: snd 	Time: 1556083753.40	Seq number: 2883	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083753.40	Seq number: 0	Data size: 300	ACK num: 3183
Type of message: snd 	Time: 1556083753.40	Seq number: 3183	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083753.40	Seq number: 0	Data size: 300	ACK num: 3483
Type of message: Drop 	Time: 1556083753.40	Seq number: 3483	Data size: 300	ACK num: 0
Type of message: RTX 	Time: 1556083754.41	Seq number: 3483	Data size: 300	ACK num: 0
Type of message: Recv 	Time: 1556083754.41	Seq number: 0	Data size: 300	ACK num: 3783
Type of message: snd 	Time: 1556083754.41	Seq number: 3783	Data size: 28	ACK num: 0
Type of message: Recv 	Time: 1556083754.41	Seq number: 0	Data size: 28	ACK num: 3811
